Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,79550,79534.7,79515.9,79542.6,79932.3
8,79740,79722.9,79704.3,79732.7,80123.4
5,79900,79911.2,79892.6,79922.9,80314.5
9,80110,80099.4,80081,80113,80505.6
7,80290,80287.7,80269.4,80303.1,80696.7
10,80500,80475.9,80457.7,80493.2,80887.8
11,80680,80664.2,80646.1,80683.3,81078.9
12,80840,80852.4,80834.5,80873.5,81270
2,81200,81236.8,81217.5,81208.5,81652.2
4,81440,81424.5,81406.1,81398.2,81843.3
3,81600,81612.2,81594.6,81587.9,82034.4
1,81780,81799.9,81783.2,81777.6,82225.5
6,81960,81987.6,81971.7,81967.3,82416.6
5,82160,82175.2,82160.3,82157,82607.7
8,82350,82362.9,82348.9,82346.7,82798.8
7,82500,82550.6,82537.4,82536.4,82989.9
9,82740,82738.3,82726,82726.1,83181
11,82910,82926,82914.5,82915.8,83372.2
10,83090,83113.7,83103.1,83105.5,83563.3
12,83300,83301.4,83291.6,83295.2,83754.4
4,83540,83489,83480.2,83484.8,83945.5
2,83690,83676.7,83668.8,83674.5,84136.6
3,83890,83864.4,83857.3,83864.2,84327.7
6,84040,84052.1,84045.9,84053.9,84518.8
1,84240,84239.8,84234.4,84243.6,84709.9
8,84390,84427.5,84423,84433.3,84901
5,84590,84615.1,84611.6,84623,85092.1
9,84830,84802.8,84800.1,84812.7,85283.2
7,85010,84990.5,84988.7,85002.4,85474.3
10,85160,85178.2,85177.2,85192.1,85665.4
11,85380,85365.9,85365.8,85381.8,85856.5
12,85570,85553.6,85554.3,85571.5,86047.6
4,85960,85940.4,85929.9,85912.6,86429.8
3,86140,86128.2,86118.4,86102.5,86620.9
2,86310,86316,86307,86292.4,86812.1
1,86510,86503.8,86495.5,86482.4,87003.2
6,86670,86691.7,86684,86672.3,87194.3
5,86840,86879.5,86872.5,86862.2,87385.4
8,87020,87067.3,87061.1,87052.1,87576.5
7,87220,87255.1,87249.6,87242,87767.6
9,87440,87442.9,87438.1,87432,87958.7
11,87600,87630.7,87626.6,87621.9,88149.8
10,87780,87818.5,87815.2,87811.8,88340.9
12,87990,88006.3,88003.7,88001.7,88532
3,88220,88194.1,88192.2,88191.6,88723.1
4,88380,88381.9,88380.7,88381.5,88914.2
2,88590,88569.7,88569.3,88571.5,89105.3
6,88760,88757.5,88757.8,88761.4,89296.4
1,88990,88945.3,88946.3,88951.3,89487.5
8,89130,89133.1,89134.8,89141.2,89678.6
5,89310,89320.9,89323.3,89331.1,89869.7
9,89540,89508.8,89511.9,89521,90060.8
7,89710,89696.6,89700.4,89711,90252
10,89870,89884.4,89888.9,89900.9,90443.1
11,90080,90072.2,90077.4,90090.8,90634.2
12,90260,90260,90266,90280.7,90825.3
4,90620,90648.6,90642.8,90624.5,91207.5
3,90840,90836.8,90831.3,90814.6,91398.6
6,91040,91025,91019.8,91004.7,91589.7
